Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,≤3,≥10,Apr,May,Jun
1,Boston Celtics,16-3,9-2,7-1,12-2,4-1,,8-1,4-1,,,4-1,2-0,10-3,3-1,9-1,4-1
2,Dallas Mavericks,13-9,6-4,7-5,1-4,12-5,1-4,,,8-3,4-2,,4-0,6-4,2-2,10-3,1-4
3,Minnesota Timberwolves,9-7,3-5,6-2,,9-7,,,,4-3,4-0,1-4,0-2,5-3,4-0,5-7,
4,Indiana Pacers,8-9,6-2,2-7,8-9,,4-7,4-2,,,,,1-2,6-4,3-2,5-7,
5,Denver Nuggets,7-5,4-3,3-2,,7-5,,,,3-4,4-1,,2-0,3-3,4-1,3-4,
6,New York Knicks,7-6,5-2,2-4,7-6,,4-2,3-4,,,,,2-0,1-4,3-2,4-4,
7,Oklahoma City Thunder,6-4,3-2,3-2,,6-4,,,,,,6-4,1-1,3-1,4-0,2-4,
8,Cleveland Cavaliers,5-7,4-2,1-5,5-7,,1-4,,4-3,,,,1-0,4-5,3-2,2-5,
9,Orlando Magic,3-4,3-0,0-4,3-4,,,3-4,,,,,0-1,2-3,2-3,1-1,
10,Los Angeles Clippers,2-4,1-2,1-2,,2-4,,,,,,2-4,0-1,1-3,2-2,0-2,
11,Milwaukee Bucks,2-4,2-1,0-3,2-4,,,2-4,,,,,0-1,2-3,2-3,0-1,
12,Philadelphia 76ers,2-4,1-2,1-2,2-4,,2-4,,,,,,0-2,1-0,2-3,0-1,
13,Los Angeles Lakers,1-4,1-1,0-3,,1-4,,,,1-4,,,0-2,1-1,1-4,,
14,Miami Heat,1-4,0-2,1-2,1-4,,1-4,,,,,,,1-4,1-3,0-1,
15,New Orleans Pelicans,0-4,0-2,0-2,,0-4,,,,0-4,,,0-1,0-2,0-4,,
16,Phoenix Suns,0-4,0-2,0-2,,0-4,,,,0-4,,,,0-3,0-4,,
