Team,"Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...",Title Odds as of Result
Team,Title Odds as of Jun 16,Title Odds as of Jul 11,Title Odds as of Jul 15,Title Odds as of Aug 6,Title Odds as of Sep 1,Title Odds as of Oct 1,Title Odds as of Opening Night,Title Odds as of Dec 1,Title Odds as of Jan 1,Title Odds as of Feb 1,Title Odds as of All-Star Break,Title Odds as of Mar 1,Title Odds as of Apr 1,Title Odds as of Round 1,Title Odds as of Conf Semis,Title Odds as of Conf Finals,Title Odds as of Finals,Title Odds as of Result
Atlanta Hawks,7500,10000,10000,10000,10000,10000,12500,8000,2800.0,800.0,650.0,650.0,1000.0,1000.0,1000.0,800.0,,
Boston Celtics,5000,6600,6600,10000,10000,15000,15000,10000,25000.0,50000.0,50000.0,,20000.0,20000.0,,,,
Brooklyn Nets,3000,4000,4000,5000,5000,6600,6000,15000,10000.0,25000.0,25000.0,40000.0,15000.0,20000.0,,,,
Charlotte Hornets,7500,8000,8000,6000,6000,7500,8500,15000,25000.0,25000.0,25000.0,50000.0,50000.0,,,,,
Chicago Bulls,1200,600,600,500,550,800,700,700,600.0,700.0,725.0,1800.0,1400.0,1400.0,850.0,,,
Cleveland Cavaliers,3300,400,425,350,300,300,275,400,500.0,500.0,350.0,200.0,225.0,225.0,350.0,225.0,190.0,
Dallas Mavericks,3300,4000,2800,1400,2200,2800,2500,1600,1000.0,1600.0,1400.0,1800.0,4000.0,5000.0,,,,
Denver Nuggets,5000,6600,6600,8000,8000,10000,12500,15000,10000.0,50000.0,50000.0,,,,,,,
Detroit Pistons,5000,8000,8000,15000,15000,20000,25000,25000,50000.0,25000.0,20000.0,20000.0,,,,,,
Golden State Warriors,2500,2000,2000,2000,2000,2800,2800,800,600.0,400.0,425.0,350.0,225.0,175.0,110.0,-200.0,-220.0,** WINNER **
Houston Rockets,1600,700,1000,1400,1400,1600,2200,1400,1600.0,2000.0,2000.0,2500.0,2000.0,2000.0,1000.0,1000.0,,
Indiana Pacers,1200,2000,2000,2800,3300,7500,8000,10000,10000.0,25000.0,25000.0,20000.0,30000.0,,,,,
Los Angeles Clippers,900,1200,1200,1000,1000,1000,900,1200,1000.0,1200.0,1400.0,1800.0,1400.0,1600.0,1000.0,,,
Los Angeles Lakers,4000,4000,4000,6600,6600,6600,10000,50000,50000.0,,,,,,,,,
Memphis Grizzlies,3300,5000,5000,5000,5000,6600,5500,1600,1600.0,1600.0,1200.0,900.0,1400.0,2200.0,2500.0,,,
Miami Heat,300,5000,4000,3300,3300,5000,4500,4000,5000.0,15000.0,15000.0,15000.0,12500.0,,,,,
Milwaukee Bucks,20000,25000,25000,25000,25000,15000,25000,25000,20000.0,15000.0,15000.0,15000.0,10000.0,20000.0,,,,
Minnesota Timberwolves,6500,15000,15000,15000,15000,35000,25000,50000,50000.0,,,,,,,,,
New Orleans Pelicans,5000,5000,5000,8000,8000,6600,7500,8000,8000.0,15000.0,15000.0,30000.0,25000.0,15000.0,,,,
New York Knicks,4000,4000,3300,3000,3000,6600,5500,10000,20000.0,,,,,,,,,
Oklahoma City Thunder,600,550,600,650,650,600,600,1000,650.0,1400.0,1200.0,550.0,3300.0,,,,,
Orlando Magic,15000,20000,20000,20000,20000,20000,25000,50000,50000.0,100000.0,100000.0,,,,,,,
Philadelphia 76ers,20000,20000,20000,30000,30000,50000,50000,500000,,,,,,,,,,
Phoenix Suns,7500,6600,6600,6600,6600,6600,8500,6600,6600.0,15000.0,15000.0,30000.0,,,,,,
Portland Trail Blazers,2500,4000,4000,4000,4000,5000,5000,2800,2500.0,3300.0,3000.0,2500.0,3300.0,4000.0,,,,
Sacramento Kings,15000,15000,15000,15000,15000,20000,25000,10000,10000.0,,,,,,,,,
San Antonio Spurs,500,525,450,450,450,400,350,350,400.0,550.0,550.0,900.0,600.0,350.0,,,,
Toronto Raptors,4000,4000,4000,5000,5000,6000,5000,1800,2000.0,2500.0,2500.0,3300.0,5000.0,6600.0,,,,
Utah Jazz,15000,20000,20000,20000,20000,25000,25000,30000,50000.0,,,,,,,,,
Washington Wizards,3300,4000,4000,4000,4000,3300,3000,2800,2800.0,2800.0,3000.0,5000.0,8000.0,8000.0,2800.0,,,
