Team,"Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...",Conf Odds as of Result
Team,Conf Odds as of Jun 16,Conf Odds as of Jul 11,Conf Odds as of Jul 15,Conf Odds as of Aug 6,Conf Odds as of Sep 1,Conf Odds as of Oct 1,Conf Odds as of Opening Night,Conf Odds as of Dec 1,Conf Odds as of Jan 1,Conf Odds as of Feb 1,Conf Odds as of All-Star Break,Conf Odds as of Mar 1,Conf Odds as of Apr 1,Conf Odds as of Round 1,Conf Odds as of Conf Semis,Conf Odds as of Conf Finals,Conf Odds as of Result
Atlanta Hawks,,,,,3500,3300,4000,3300,800.0,300.0,225.0,225.0,260.0,300.0,350.0,190.0,
Boston Celtics,,,,,6000,5000,5500,6600,15000.0,25000.0,25000.0,,10000.0,6600.0,,,
Brooklyn Nets,,,,,2500,2000,2800,3300,4000.0,10000.0,10000.0,15000.0,7500.0,7500.0,,,
Charlotte Hornets,,,,,2500,2500,3000,5000,20000.0,10000.0,10000.0,20000.0,25000.0,,,,
Chicago Bulls,,,,,250,275,300,250,150.0,300.0,275.0,1000.0,700.0,575.0,400.0,,
Cleveland Cavaliers,,,,,-120,110,-115,100,150.0,200.0,155.0,-165.0,-175.0,-225.0,-145.0,-220.0,** WINNER **
Detroit Pistons,,,,,10000,6600,7500,10000,20000.0,10000.0,10000.0,6600.0,,,,,
Indiana Pacers,,,,,2500,2200,3000,4000,6000.0,10000.0,10000.0,10000.0,15000.0,,,,
Miami Heat,,,,,1600,1400,2000,1400,3000.0,5000.0,5000.0,6600.0,5000.0,,,,
Milwaukee Bucks,,,,,15000,10000,10000,10000,8000.0,6600.0,6600.0,8000.0,5000.0,7500.0,,,
New York Knicks,,,,,2500,2000,2400,4000,30000.0,,,,,,,,
Orlando Magic,,,,,9000,10000,10000,20000,25000.0,50000.0,50000.0,,,,,,
Philadelphia 76ers,,,,,15000,15000,20000,200000,,,,,,,,,
Toronto Raptors,,,,,2800,2000,2200,650,600.0,700.0,700.0,1200.0,2000.0,2200.0,,,
Washington Wizards,,,,,1500,800,1300,1200,1200.0,900.0,1000.0,1800.0,4000.0,3300.0,1100.0,,
Dallas Mavericks,,,,,800,1200,1100,850,600.0,900.0,750.0,1000.0,1800.0,2500.0,,,
Denver Nuggets,,,,,4000,4000,5400,6600,10000.0,25000.0,25000.0,,,,,,
Golden State Warriors,,,,,1100,1200,1200,400,300.0,250.0,215.0,200.0,125.0,110.0,-200.0,-950.0,** WINNER **
Houston Rockets,,,,,800,800,1100,700,1100.0,1000.0,900.0,1200.0,1000.0,950.0,500.0,700.0,
Los Angeles Clippers,,,,,550,500,425,600,650.0,650.0,650.0,900.0,700.0,900.0,500.0,,
Los Angeles Lakers,,,,,3500,3300,5000,25000,25000.0,,,,,,,,
Memphis Grizzlies,,,,,2500,2500,2700,850,850.0,900.0,650.0,500.0,700.0,1200.0,1000.0,,
Minnesota Timberwolves,,,,,8000,10000,10000,25000,,,,,,,,,
New Orleans Pelicans,,,,,4000,2800,4400,4000,6000.0,8000.0,8000.0,15000.0,12500.0,7500.0,,,
Oklahoma City Thunder,,,,,300,275,350,600,500.0,750.0,575.0,350.0,1800.0,,,,
Phoenix Suns,,,,,4000,3300,4200,3300,4500.0,6600.0,6600.0,15000.0,,,,,
Portland Trail Blazers,,,,,2000,2000,2300,1400,1500.0,1600.0,1400.0,1800.0,1800.0,2200.0,,,
Sacramento Kings,,,,,12500,8000,11000,5000,8000.0,,,,,,,,
San Antonio Spurs,,,,,220,225,180,250,250.0,300.0,325.0,500.0,360.0,200.0,,,
Utah Jazz,,,,,15000,10000,13000,15000,30000.0,,,,,,,,
