Team,"Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...",Title Odds as of Result
Team,Title Odds as of Jun 17,Title Odds as of Aug 1,Title Odds as of Opening Night,Title Odds as of Dec 1,Title Odds as of Jan 1,Title Odds as of Feb 1,Title Odds as of All-Star Break,Title Odds as of Mar 1,Title Odds as of Apr 1,Title Odds as of Round 1,Title Odds as of Conf Semis,Title Odds as of Conf Finals,Title Odds as of Finals,Title Odds as of Result
Atlanta Hawks,2500,3500,3600,4000,3500,4500,6000.0,6500.0,7000.0,10000.0,5000.0,,,
Boston Celtics,6500,12500,15500,13000,9000,11000,4750.0,7000.0,8500.0,8000.0,,,,
Brooklyn Nets,10000,25000,30000,25000,300000,999999,,,,,,,,
Charlotte Hornets,20000,35000,35000,20000,24500,32000,30000.0,32000.0,22000.0,15000.0,,,,
Chicago Bulls,1200,1900,1600,2500,3000,3800,4500.0,6500.0,50000.0,,,,,
Cleveland Cavaliers,300,270,280,260,265,280,340.0,265.0,430.0,475.0,373.0,233.0,180.0,** WINNER **
Dallas Mavericks,4000,8000,12000,11000,16500,28000,25000.0,21000.0,100000.0,50000.0,,,,
Denver Nuggets,10000,25000,30000,60000,100000,999999,500000.0,500000.0,,,,,,
Detroit Pistons,10000,20000,25000,15000,26500,20000,30000.0,27000.0,26500.0,27500.0,,,,
Golden State Warriors,550,500,480,165,140,145,-115.0,-130.0,-128.0,-135.0,120.0,-153.0,-220.0,
Houston Rockets,1800,1800,1500,4000,7000,10000,11000.0,12000.0,16500.0,40000.0,,,,
Indiana Pacers,3000,6200,9000,5000,5000,7500,8000.0,9500.0,22500.0,21500.0,,,,
Los Angeles Clippers,1100,1050,1200,1600,2700,2500,2500.0,2800.0,4000.0,4700.0,,,,
Los Angeles Lakers,7500,15000,20000,250000,999999,999999,,,,,,,,
Memphis Grizzlies,3000,3100,3300,6500,16000,13000,12500.0,13500.0,30000.0,100000.0,,,,
Miami Heat,4000,4300,4000,3000,4500,7000,6600.0,7500.0,7000.0,8000.0,8000.0,,,
Milwaukee Bucks,7500,6400,6800,20000,40000,100000,150000.0,150000.0,,,,,,
Minnesota Timberwolves,20000,35000,30000,30000,50000,500000,,,,,,,,
New Orleans Pelicans,2500,4000,3300,25000,100000,60000,150000.0,150000.0,,,,,,
New York Knicks,8500,20000,24000,15000,35000,40000,150000.0,150000.0,,,,,,
Oklahoma City Thunder,600,800,750,900,800,1030,1200.0,1000.0,1700.0,2150.0,1685.0,745.0,,
Orlando Magic,25000,35000,50000,50000,25000,100000,100000.0,100000.0,,,,,,
Philadelphia 76ers,25000,40000,100000,250000,999999,999999,,,,,,,,
Phoenix Suns,10000,12500,30000,25000,100000,999999,,,,,,,,
Portland Trail Blazers,4000,20000,30000,35000,100000,100000,75000.0,20000.0,20000.0,27500.0,8300.0,,,
Sacramento Kings,10000,20000,30000,50000,50000,50000,100000.0,100000.0,,,,,,
San Antonio Spurs,1100,400,500,400,350,365,350.0,365.0,340.0,398.0,243.0,,,
Toronto Raptors,4000,5300,6600,5500,5000,2300,2800.0,3300.0,3000.0,4000.0,7000.0,4600.0,,
Utah Jazz,10000,15000,15000,12000,35000,50000,50000.0,55000.0,100000.0,,,,,
Washington Wizards,2500,4100,5500,8000,23000,15000,20000.0,25000.0,100000.0,,,,,
