Team,"Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...",Conf Odds as of Result
Team,Conf Odds as of Jun 17,Conf Odds as of Aug 1,Conf Odds as of Opening Night,Conf Odds as of Dec 1,Conf Odds as of Jan 1,Conf Odds as of Feb 1,Conf Odds as of All-Star Break,Conf Odds as of Mar 1,Conf Odds as of Apr 1,Conf Odds as of Round 1,Conf Odds as of Conf Semis,Conf Odds as of Conf Finals,Conf Odds as of Result
Atlanta Hawks,,1300,1500,1600,1500,1800,2500.0,2700.0,1600.0,1600.0,1000.0,,
Boston Celtics,,4750,5000,4500,3500,4500,1700.0,2000.0,1800.0,2000.0,,,
Brooklyn Nets,,9000,10000,100000,100000,500000,,,,,,,
Charlotte Hornets,,12500,11500,12000,15000,13000,10000.0,13000.0,4500.0,4000.0,,,
Chicago Bulls,,600,700,950,930,975,1700.0,2300.0,15000.0,,,,
Cleveland Cavaliers,,-175,-230,-280,-270,-310,-285.0,-330.0,-320.0,-233.0,-400.0,-1350.0,** WINNER **
Detroit Pistons,,6300,8500,10000,10000,8000,9000.0,9000.0,8500.0,10000.0,,,
Indiana Pacers,,2150,2800,2500,1400,3300,3000.0,3500.0,5500.0,7500.0,,,
Miami Heat,,1475,1450,1500,1500,2300,2800.0,2500.0,1600.0,1500.0,1100.0,,
Milwaukee Bucks,,2300,2800,7500,15000,35000,50000.0,65000.0,,,,,
New York Knicks,,6300,8500,7000,15000,12000,50000.0,60000.0,,,,,
Orlando Magic,,9500,16000,13000,10000,36000,30000.0,40000.0,,,,,
Philadelphia 76ers,,10500,30000,120000,500000,500000,,,,,,,
Toronto Raptors,,1800,2500,1600,2000,1050,810.0,600.0,650.0,535.0,700.0,885.0,
Washington Wizards,,1450,2400,4000,10000,6500,8000.0,8750.0,23000.0,,,,
Dallas Mavericks,,3700,4500,6500,8000,7000,10000.0,12000.0,30000.0,22500.0,,,
Denver Nuggets,,9500,10000,30000,50000,500000,250000.0,,,,,,
Golden State Warriors,,280,280,115,-110,-130,-170.0,-185.0,-155.0,-198.0,-125.0,-430.0,** WINNER **
Houston Rockets,,1050,975,2000,3300,4500,5000.0,6500.0,7500.0,20000.0,,,
Los Angeles Clippers,,600,620,800,1400,1400,1450.0,1500.0,1700.0,2200.0,,,
Los Angeles Lakers,,6700,7000,120000,500000,500000,,,,,,,
Memphis Grizzlies,,1575,1600,3000,5000,5000,5500.0,6500.0,10000.0,47500.0,,,
Minnesota Timberwolves,,12500,10000,16500,50000,250000,,,,,,,
New Orleans Pelicans,,2100,1600,12000,50000,28000,75000.0,55000.0,,,,,
Oklahoma City Thunder,,480,435,600,540,700,650.0,700.0,875.0,910.0,900.0,345.0,
Phoenix Suns,,5800,10000,9500,20000,500000,,,,,,,
Portland Trail Blazers,,8500,10000,23000,50000,50000,25000.0,12500.0,10000.0,13500.0,2800.0,,
Sacramento Kings,,8500,10000,21000,50000,22500,35000.0,50000.0,,,,,
San Antonio Spurs,,225,250,250,230,230,265.0,255.0,250.0,288.0,155.0,,
Utah Jazz,,6700,6000,7000,15000,23000,20000.0,25000.0,25000.0,,,,
