Team,"Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...",Title Odds as of Result
Team,Title Odds as of Jun 27,Title Odds as of Jul 17,Title Odds as of Aug 1,Title Odds as of Opening Night,Title Odds as of Dec 1,Title Odds as of Jan 1,Title Odds as of Feb 1,Title Odds as of All-Star Break,Title Odds as of Mar 1,Title Odds as of Apr 1,Title Odds as of Round 1,Title Odds as of Conf Semis,Title Odds as of Conf Finals,Title Odds as of Finals,Title Odds as of Result
Atlanta Hawks,3300,5000,7500,10000,4000,8000,8000,11000,15000,22500.0,23500.0,,,,
Boston Celtics,1250,2000,2500,2900,3300,4000,3000,2000,3000,2000.0,2650.0,3500.0,4600.0,,
Brooklyn Nets,50000,50000,125000,135000,100000,150000,300000,500000,999999,,,,,,
Charlotte Hornets,10000,17500,50000,55000,10000,10000,20000,75000,75000,75000.0,,,,,
Chicago Bulls,4000,4500,10000,9000,6600,6600,17500,25000,26000,50000.0,30000.0,,,,
Cleveland Cavaliers,280,400,375,385,290,285,310,350,265,300.0,405.0,425.0,292.0,250.0,
Dallas Mavericks,10000,17500,35000,39000,100000,150000,100000,150000,150000,,,,,,
Denver Nuggets,25000,30000,35000,50000,27500,30000,27500,35000,50000,50000.0,,,,,
Detroit Pistons,7500,12500,12500,14000,12500,15000,32500,50000,50000,75000.0,,,,,
Golden State Warriors,215,-125,-125,-128,-135,-130,-150,-160,-145,-135.0,-173.0,-205.0,-245.0,-300.0,** WINNER **
Houston Rockets,5000,7000,15000,16000,6600,5000,2200,2850,2500,2250.0,2900.0,2350.0,,,
Indiana Pacers,7500,6500,7000,8000,8000,10000,12500,17500,20000,35000.0,33500.0,,,,
Los Angeles Clippers,950,2800,3500,3500,1325,1500,3000,3500,3300,4500.0,5500.0,,,,
Los Angeles Lakers,10000,20000,35000,39000,30000,50000,100000,200000,275000,,,,,,
Memphis Grizzlies,6500,7000,8000,8800,10000,8000,10000,11000,10000,17500.0,25000.0,,,,
Miami Heat,1200,3500,10000,17500,20000,35000,75000,75000,50000,35000.0,,,,,
Milwaukee Bucks,12500,15000,15000,18000,20000,20000,30000,75000,50000,22500.0,25000.0,,,,
Minnesota Timberwolves,4500,6000,8500,10000,30000,75000,50000,150000,100000,,,,,,
New Orleans Pelicans,6500,10000,12500,14500,35000,75000,75000,8500,25000,100000.0,,,,,
New York Knicks,4000,5500,8500,7500,10000,10000,35000,100000,60000,,,,,,
Oklahoma City Thunder,600,4000,5000,6000,5000,6600,8500,20000,10000,12500.0,22500.0,,,,
Orlando Magic,15000,20000,20000,22500,40000,35000,100000,200000,300000,,,,,,
Philadelphia 76ers,50000,50000,35000,50000,100000,150000,100000,200000,250000,,,,,,
Phoenix Suns,50000,50000,100000,85000,100000,100000,100000,250000,500000,,,,,,
Portland Trail Blazers,7500,10000,12500,13000,12500,15000,32500,75000,50000,27500.0,30000.0,,,,
Sacramento Kings,25000,30000,35000,50000,35000,50000,50000,150000,250000,,,,,,
San Antonio Spurs,525,900,925,925,800,900,865,950,800,610.0,1050.0,1125.0,1450.0,,
Toronto Raptors,2500,3500,6000,5500,3300,3300,3300,3050,4500,3750.0,4000.0,6000.0,,,
Utah Jazz,4500,10000,12500,10000,8000,6600,5000,6600,6600,5000.0,15000.0,22500.0,,,
Washington Wizards,6500,10000,15000,16000,20000,25000,8500,4300,6000,3500.0,7250.0,4200.0,,,
