Team,"Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...",Conf Odds as of Result
Team,Conf Odds as of Jun 15,Conf Odds as of Jun 30,Conf Odds as of Jul 14,Conf Odds as of Opening Night,Conf Odds as of Nov 1,Conf Odds as of Dec 1,Conf Odds as of Jan 1,Conf Odds as of Feb 1,Conf Odds as of All-Star Break,Conf Odds as of Mar 1,Conf Odds as of Apr 1,Conf Odds as of Round 1,Conf Odds as of Conf Semis,Conf Odds as of Conf Finals,Conf Odds as of Result
Atlanta Hawks,,,16000,21000,20000,75000,100000,100000,150000,50000,,,,,
Boston Celtics,,,280,245,520,260,270,260,470,280,440.0,2500.0,1300.0,235.0,
Brooklyn Nets,,,20000,25000,20000,75000,100000,100000,150000,50000,,,,,
Charlotte Hornets,,,7500,7500,7500,6950,10000,12500,20000,15000,,,,,
Chicago Bulls,,,20000,25000,100000,75000,30000,15000,150000,50000,,,,,
Cleveland Cavaliers,,,-170,-165,-195,-115,-140,105,-135,103,163.0,137.0,330.0,-275.0,** WINNER **
Detroit Pistons,,,9500,9000,7500,5350,5500,5850,6750,15000,45000.0,,,,
Indiana Pacers,,,16000,14000,11500,7800,10000,6950,6750,6350,5400.0,6000.0,,,
Miami Heat,,,3300,4000,4650,4900,5500,3000,9500,6350,5900.0,6000.0,,,
Milwaukee Bucks,,,1500,2000,1575,1735,1750,1660,2200,2350,5900.0,5500.0,,,
New York Knicks,,,13500,12000,20000,17500,10000,15000,150000,50000,,,,,
Orlando Magic,,,20000,25000,7500,15000,100000,100000,150000,50000,,,,,
Philadelphia 76ers,,,3300,3800,4000,3250,2800,2750,2650,1650,1375.0,430.0,162.0,,
Toronto Raptors,,,3000,3100,1750,1735,1750,600,315,400,173.0,185.0,157.0,,
Washington Wizards,,,1700,2200,1075,1250,1750,1660,1700,1650,2900.0,4400.0,,,
Dallas Mavericks,,,14500,13500,20000,135000,100000,500000,350000,100000,,,,,
Denver Nuggets,,,8500,8000,6500,9500,10000,20000,17500,10000,50000.0,,,,
Golden State Warriors,,,-245,-355,-240,-280,-240,-298,-273,-288,-109.0,102.0,-130.0,-200.0,** WINNER **
Houston Rockets,,,490,1100,755,775,475,460,375,400,118.0,125.0,132.0,170.0,
Los Angeles Clippers,,,6500,8000,4750,14500,12500,25000,32500,12500,30000.0,,,,
Los Angeles Lakers,,,14500,9500,20000,35000,20000,125000,350000,100000,,,,,
Memphis Grizzlies,,,13500,12500,6500,12500,32500,250000,350000,100000,,,,,
Minnesota Timberwolves,,,1550,2600,3000,3300,4250,3000,3000,6000,12500.0,10000.0,,,
New Orleans Pelicans,,,8500,8300,7500,14500,10000,27500,32500,12500,17500.0,10000.0,4400.0,,
Oklahoma City Thunder,,,1550,1100,1350,1400,1575,1925,1500,2500,3250.0,3000.0,,,
Phoenix Suns,,,30000,32500,100000,250000,100000,500000,350000,100000,,,,,
Portland Trail Blazers,,,10500,10500,7000,9500,10000,17500,15000,11000,5900.0,3600.0,,,
Sacramento Kings,,,30000,32500,35000,250000,100000,500000,350000,100000,,,,,
San Antonio Spurs,,,1000,1000,905,1050,1075,1800,2000,2100,6950.0,5000.0,,,
Utah Jazz,,,10500,9000,7500,14500,20000,50000,7500,12500,10000.0,3750.0,4300.0,,
