Team,"Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...",Conf Odds as of Result
Team,Conf Odds as of Jun 13,Conf Odds as of Jul 2,Conf Odds as of Jul 3,Conf Odds as of Jul 13,Conf Odds as of Jul 18,Conf Odds as of Aug 6,Conf Odds as of Oct 16,Conf Odds as of Nov 1,Conf Odds as of Dec 1,Conf Odds as of Jan 1,Conf Odds as of Feb 1,Conf Odds as of All-Star Break,Conf Odds as of Mar 1,Conf Odds as of Apr 1,Conf Odds as of Round 1,Conf Odds as of Conf Semis,Conf Odds as of Conf Finals,Conf Odds as of Result
Atlanta Hawks,,,,15000,40000,8000,20000,10250,22500,15000,15000,500000,,,,,,
Boston Celtics,,,,-133,-122,135,-105,140,210,220,221,345,345.0,445.0,675.0,555.0,,
Brooklyn Nets,,,,15000,40000,8000,18500,7700,16500,15000,6150,50000,50000.0,9250.0,25000.0,,,
Charlotte Hornets,,,,9000,12500,5500,9000,7000,7300,7000,7150,40000,150000.0,100000.0,,,,
Chicago Bulls,,,,9000,15000,7000,9000,7700,22500,15000,15000,500000,,,,,,
Cleveland Cavaliers,,,,9000,15000,5000,9000,10250,22500,15000,15000,500000,,,,,,
Detroit Pistons,,,,6600,6000,3800,7000,6100,6250,7750,9000,80000,100000.0,8750.0,30000.0,,,
Indiana Pacers,,,,3300,2600,5000,2800,6100,3300,3250,2050,3400,3650.0,4750.0,8000.0,,,
Miami Heat,,,,9000,6000,5000,7000,7000,6850,9250,6550,40000,75000.0,12500.0,,,,
Milwaukee Bucks,,,,2500,2600,1900,2350,805,475,515,370,230,240.0,180.0,127.0,-183.0,-270.0,
New York Knicks,,,,11500,15000,7000,7000,7700,17500,15000,15000,500000,,,,,,
Orlando Magic,,,,9000,20000,6500,12000,7700,9250,9250,11750,50000,100000.0,20000.0,22500.0,,,
Philadelphia 76ers,,,,285,325,315,400,675,550,500,660,330,330.0,350.0,575.0,825.0,,
Toronto Raptors,,,,825,510,395,375,200,180,175,206,200,245.0,260.0,178.0,210.0,230.0,** WINNER **
Washington Wizards,,,,2500,2850,2000,2600,6600,8500,9250,9000,100000,150000.0,,,,,
Dallas Mavericks,,,,10000,12000,12000,12000,13000,7000,10000,15000,50000,150000.0,,,,,
Denver Nuggets,,,,10000,11500,7000,8500,5000,3750,2800,2950,1600,1900.0,1650.0,2000.0,1300.0,,
Golden State Warriors,,,,-223,-218,-235,-245,-290,-245,-280,-320,-360,-345.0,-350.0,-278.0,-198.0,-550.0,** WINNER **
Houston Rockets,,,,600,525,680,585,845,1060,1025,980,1000,900.0,650.0,475.0,275.0,,
Los Angeles Clippers,,,,20000,23500,12000,13000,10000,4250,7350,9250,50000,55000.0,6500.0,25000.0,,,
Los Angeles Lakers,,,,575,550,735,1000,1800,1280,1435,1250,2200,3250.0,,,,,
Memphis Grizzlies,,,,27500,35000,17500,18500,10250,5000,9250,25000,500000,,,,,,
Minnesota Timberwolves,,,,10000,12000,7500,10000,10000,5000,8750,15000,100000,100000.0,,,,,
New Orleans Pelicans,,,,5000,8500,6500,5000,2350,3250,6750,9500,50000,150000.0,,,,,
Oklahoma City Thunder,,,,4000,3850,3100,2200,3250,1875,1400,1850,1500,1200.0,2350.0,1250.0,,,
Phoenix Suns,,,,27500,35000,22500,20500,17500,22500,20000,25000,500000,,,,,,
Portland Trail Blazers,,,,6000,8500,6500,11000,11500,4000,6600,9000,12500,6600.0,4750.0,5000.0,1550.0,425.0,
Sacramento Kings,,,,40000,92500,33000,47500,10250,12500,20000,22500,25000,50000.0,,,,,
San Antonio Spurs,,,,5000,8500,5500,5000,3750,6350,4000,6250,4200,6600.0,5000.0,13000.0,,,
Utah Jazz,,,,5000,6000,3900,5000,1775,2650,4850,3250,3200,3500.0,3000.0,4000.0,,,
