Team,Win Total,Over Odds,Under Odds,Total Games Played,Actual Wins,Result
Atlanta Hawks,33.5,-120,100,67,20,VOID
Boston Celtics,48.5,-130,110,72,48,VOID
Brooklyn Nets,43.5,105,-125,72,35,VOID
Charlotte Hornets,23.5,110,-130,65,23,VOID
Chicago Bulls,33.5,-140,120,65,22,VOID
Cleveland Cavaliers,24.5,115,-135,65,19,VOID
Dallas Mavericks,40.5,-155,135,75,43,VOID
Denver Nuggets,53.0,-125,105,73,46,VOID
Detroit Pistons,37.5,-135,115,66,20,VOID
Golden State Warriors,47.5,145,-165,65,15,VOID
Houston Rockets,54.0,-110,-110,72,44,VOID
Indiana Pacers,46.5,115,-135,73,45,VOID
Los Angeles Clippers,53.5,-105,-115,72,49,VOID
Los Angeles Lakers,50.5,-105,-115,71,52,VOID
Memphis Grizzlies,27.5,-120,100,73,34,VOID
Miami Heat,43.5,-130,110,73,44,VOID
Milwaukee Bucks,57.5,135,-155,73,56,VOID
Minnesota Timberwolves,35.5,-125,105,64,19,VOID
New Orleans Pelicans,37.5,-105,-115,72,30,VOID
New York Knicks,26.5,105,-125,66,21,VOID
Oklahoma City Thunder,32.5,-130,110,72,44,VOID
Orlando Magic,41.5,-120,100,73,33,VOID
Philadelphia 76ers,54.5,-120,100,73,43,VOID
Phoenix Suns,29.5,-110,-110,73,34,VOID
Portland Trail Blazers,46.5,-110,-110,74,35,VOID
Sacramento Kings,37.5,-120,100,72,31,VOID
San Antonio Spurs,46.5,130,-150,71,32,VOID
Toronto Raptors,46.5,-135,115,72,53,VOID
Utah Jazz,53.5,100,-120,72,44,VOID
Washington Wizards,27.0,100,-120,72,25,VOID
