Team,"Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...",Conf Odds as of Result
Team,Conf Odds as of May 30,Conf Odds as of Jun 17,Conf Odds as of Jul 11,Conf Odds as of Sep 19,Conf Odds as of Opening Night,Conf Odds as of Nov 1,Conf Odds as of Dec 1,Conf Odds as of Jan 1,Conf Odds as of Feb 1,Conf Odds as of All-Star Break,Conf Odds as of Mar 1,Conf Odds as of Jul 30,Conf Odds as of Round 1,Conf Odds as of Conf Semis,Conf Odds as of Conf Finals,Conf Odds as of Result
Atlanta Hawks,,,5200,9000,6600,17500,50000,20000,500000,499000,,,,,,
Boston Celtics,,,800,800,600,700,600,580,650,620,650.0,600.0,425.0,395.0,-130.0,
Brooklyn Nets,,,1125,865,1500,1050,2200,3500,6000,7000,22500.0,10000.0,10000.0,,,
Charlotte Hornets,,,100000,100000,100000,50000,32500,15000,500000,499000,,,,,,
Chicago Bulls,,,9000,18000,15000,12500,35000,12500,50000,99500,,,,,,
Cleveland Cavaliers,,,100000,75000,60000,50000,40000,22500,500000,499000,,,,,,
Detroit Pistons,,,6600,10000,7500,10000,22500,10250,75000,124500,,,,,,
Indiana Pacers,,,1350,1250,1100,2350,2350,2000,2350,3650,3000.0,5000.0,5000.0,,,
Miami Heat,,,2250,2500,2200,2500,1500,675,1000,835,1175.0,1175.0,1450.0,830.0,110.0,** WINNER **
Milwaukee Bucks,,,160,160,150,155,160,150,-110,-140,-180.0,-160.0,-145.0,-110.0,,
New York Knicks,,,10000,50000,20000,50000,45000,25000,500000,499000,,,,,,
Orlando Magic,,,4000,4500,5000,6950,17500,6600,20000,14500,100000.0,25000.0,12500.0,,,
Philadelphia 76ers,,,260,250,235,220,200,350,425,640,1025.0,725.0,2300.0,,,
Toronto Raptors,,,1175,1500,1500,1200,1175,1075,875,700,750.0,750.0,440.0,305.0,,
Washington Wizards,,,10000,50000,50000,25000,20000,17500,500000,499000,500000.0,25000.0,,,,
Dallas Mavericks,,,2850,6000,4000,3750,3000,1650,1450,1900,1850.0,1800.0,2000.0,,,
Denver Nuggets,,,1050,1100,1100,1000,1125,1000,925,1075,950.0,1300.0,1500.0,1990.0,425.0,
Golden State Warriors,,,800,800,650,4000,16750,22500,250000,499000,,,,,,
Houston Rockets,,,700,475,435,500,425,525,750,700,750.0,715.0,650.0,760.0,,
Los Angeles Clippers,,,200,255,225,190,200,200,195,170,205.0,175.0,150.0,107.0,,
Los Angeles Lakers,,,320,325,250,250,215,190,175,160,145.0,155.0,180.0,132.0,-550.0,** WINNER **
Memphis Grizzlies,,,13000,50000,50000,50000,20000,30000,20000,42500,62500.0,6000.0,,,,
Minnesota Timberwolves,,,9000,22500,25000,12500,11250,17500,125000,499000,,,,,,
New Orleans Pelicans,,,5500,4000,6600,6600,16250,15000,7000,15000,4250.0,4000.0,,,,
Oklahoma City Thunder,,,9000,25000,25000,10000,15000,20000,12500,7000,7850.0,3000.0,2000.0,,,
Phoenix Suns,,,13000,30000,30000,27500,10000,25000,50000,174500,250000.0,25000.0,,,,
Portland Trail Blazers,,,1350,1800,2000,2200,8750,5000,7500,5000,17500.0,4000.0,1300.0,,,
Sacramento Kings,,,7000,12500,9000,8250,7500,12500,100000,249500,175000.0,50000.0,,,,
San Antonio Spurs,,,3250,4500,4000,4250,6850,6600,17500,29500,50000.0,25000.0,,,,
Utah Jazz,,,725,800,900,950,975,1125,900,1025,1300.0,2200.0,4400.0,,,
