Team,Win Total,Over Odds,Under Odds,Game number bet settled,Actual Wins,Result
Atlanta Hawks,34.5,-110,-110,Game 65,41,Over
Boston Celtics,44.5,105,-125,Game 60,36,Under
Brooklyn Nets,45.5,-110,-110,Game 69,48,Over
Charlotte Hornets,26.5,-110,-110,Game 51,33,Over
Chicago Bulls,29.5,-110,-110,Game 70,31,Over
Cleveland Cavaliers,22.5,-110,-110,Game 72,22,Under
Dallas Mavericks,42.5,-110,-110,Game 72,42,Under
Denver Nuggets,44.5,-110,-110,Game 69,47,Over
Detroit Pistons,23.5,-110,-110,Game 69,20,Under
Golden State Warriors,37.5,-110,-110,Game 71,39,Over
Houston Rockets,34.5,-110,-110,Game 52,17,Under
Indiana Pacers,38.5,-110,-110,Game 64,34,Under
Los Angeles Clippers,46.5,-110,-110,Game 70,47,Over
Los Angeles Lakers,47.5,-110,-110,Game 60,42,Under
Memphis Grizzlies,31.5,-110,-110,Game 62,38,Over
Miami Heat,43.5,-110,-110,Game 60,40,Under
Milwaukee Bucks,49.5,-110,-110,Game 60,46,Under
Minnesota Timberwolves,29.5,-110,-110,Game 58,23,Under
New Orleans Pelicans,36.5,-110,-110,Game 65,31,Under
New York Knicks,21.5,-110,-110,Game 44,41,Over
Oklahoma City Thunder,22.5,105,-125,Game 71,22,Under
Orlando Magic,31.5,-110,-110,Game 59,21,Under
Philadelphia 76ers,43.5,-110,-110,Game 65,49,Over
Phoenix Suns,38.5,-110,-110,Game 54,51,Over
Portland Trail Blazers,40.5,-110,-110,Game 70,42,Over
Sacramento Kings,28.5,-110,-110,Game 66,31,Over
San Antonio Spurs,28.5,-110,-110,Game 58,33,Over
Toronto Raptors,42.5,-110,-110,Game 48,27,Under
Utah Jazz,41.5,-110,-110,Game 56,52,Over
Washington Wizards,32.5,-110,-110,Game 71,34,Over
