Team,"Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...",Conf Odds as of Result
Team,Conf Odds as of Oct 11,Conf Odds as of Nov 26,Conf Odds as of Dec 4,Conf Odds as of Opening Night,Conf Odds as of Jan 1,Conf Odds as of Feb 1,Conf Odds as of Mar 1,Conf Odds as of All-Star Break,Conf Odds as of Apr 1,Conf Odds as of May 1,Conf Odds as of Round 1,Conf Odds as of Conf Semis,Conf Odds as of Conf Finals,Conf Odds as of Result
Atlanta Hawks,6500,4000,4000,4000,4000,6500,4000,4000,5000,,3000.0,1400.0,400.0,
Boston Celtics,450,650,650,650,600,900,900,1100,1400,,4000.0,,,
Brooklyn Nets,400,220,250,250,240,125,150,125,-105,,-110.0,-135.0,,
Charlotte Hornets,25000,25000,12500,12500,10000,12500,10000,10000,10000,,,,,
Chicago Bulls,10000,8000,12500,12500,10000,25000,25000,25000,15000,,,,,
Cleveland Cavaliers,25000,25000,25000,25000,20000,25000,25000,25000,25000,,,,,
Detroit Pistons,25000,25000,25000,25000,20000,25000,25000,25000,25000,,,,,
Indiana Pacers,5000,4000,4000,4000,4000,2200,2500,2500,2500,,,,,
Miami Heat,400,750,750,800,700,1200,1400,1600,1400,,1800.0,,,
Milwaukee Bucks,200,220,220,220,240,300,260,275,350,,350.0,270.0,-500.0,** WINNER **
New York Knicks,25000,25000,25000,25000,20000,25000,15000,15000,10000,,3500.0,,,
Orlando Magic,6500,8000,10000,10000,8000,6500,20000,20000,50000,,,,,
Philadelphia 76ers,1200,1200,1200,900,800,650,550,500,500,,300.0,450.0,,
Toronto Raptors,750,900,1200,1400,1400,2200,1600,1600,3300,,,,,
Washington Wizards,10000,8000,4000,4000,4000,25000,6600,6600,10000,,5000.0,,,
Dallas Mavericks,1100,1400,1400,1400,1400,1600,3000,3000,2500,,1400.0,,,
Denver Nuggets,1100,1000,1000,1000,1000,1200,1300,1300,1100,,1800.0,800.0,,
Golden State Warriors,425,1400,1400,1400,1400,3500,3500,3500,8000,,,,,
Houston Rockets,1400,1800,3000,3000,3000,8000,20000,20000,25000,,,,,
Los Angeles Clippers,260,375,360,360,330,270,260,275,260,,300.0,210.0,170.0,
Los Angeles Lakers,200,115,130,130,115,115,125,125,150,,180.0,,,
Memphis Grizzlies,10000,8000,8000,8000,8000,8000,10000,10000,10000,,5000.0,,,
Minnesota Timberwolves,30000,10000,10000,10000,10000,25000,25000,25000,25000,,,,,
New Orleans Pelicans,3500,3500,3500,3500,3500,6000,6600,6600,6600,,,,,
Oklahoma City Thunder,4000,10000,10000,10000,10000,25000,25000,25000,25000,,,,,
Phoenix Suns,6000,2200,2200,2200,2200,2200,1800,1600,1100,,850.0,300.0,-200.0,** WINNER **
Portland Trail Blazers,2200,2200,2200,2200,2200,3000,3500,3500,2200,,1600.0,,,
Sacramento Kings,15000,15000,15000,15000,15000,15000,25000,25000,25000,,,,,
San Antonio Spurs,15000,15000,15000,15000,15000,8000,10000,10000,10000,,,,,
Utah Jazz,2800,2200,2200,2200,2200,900,400,450,375,,300.0,140.0,,
