Team,"Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...",Title Odds as of Result
Team,Title Odds as of Jul 21,Title Odds as of Aug 4,Title Odds as of Aug 27,Title Odds as of Opening Night,Title Odds as of Nov 1,Title Odds as of Dec 1,Title Odds as of Jan 1,Title Odds as of Feb 1,Title Odds as of All-Star Break,Title Odds as of Mar 1,Title Odds as of Apr 1,Title Odds as of Round 1,Title Odds as of Conf Semis,Title Odds as of Conf Finals,Title Odds as of Finals,Title Odds as of Result
Atlanta Hawks,3500,3500,3500,3500,4000,4000,4000,6600,15000,20000,10000.0,10000.0,,,,
Boston Celtics,4000,4000,4000,4000,4000,6600,6600,6600,2500,1800,900.0,750.0,375.0,200.0,125.0,
Brooklyn Nets,225,225,240,240,250,260,250,275,600,600,600.0,800.0,,,,
Charlotte Hornets,20000,10000,10000,10000,12500,15000,15000,15000,25000,25000,40000.0,,,,,
Chicago Bulls,12500,6600,6600,6600,4000,3000,3000,2200,2500,2500,6600.0,10000.0,,,,
Cleveland Cavaliers,50000,50000,50000,50000,50000,25000,10000,5000,4000,5000,10000.0,,,,,
Dallas Mavericks,3000,3000,3000,3000,3000,4000,4000,5000,4000,4000,2800.0,4000.0,2000.0,600.0,,
Denver Nuggets,2000,2200,2200,2200,2500,2200,2500,3500,3000,3000,2800.0,2800.0,,,,
Detroit Pistons,50000,50000,50000,50000,50000,75000,100000,100000,100000,100000,,,,,,
Golden State Warriors,1200,1100,900,900,900,600,450,450,425,450,750.0,1000.0,300.0,150.0,-145.0,** WINNER **
Houston Rockets,50000,50000,50000,50000,50000,75000,75000,75000,75000,75000,,,,,,
Indiana Pacers,10000,10000,10000,10000,10000,15000,25000,50000,50000,50000,,,,,,
Los Angeles Clippers,1800,1600,1600,1600,1600,2000,2500,3500,10000,10000,5000.0,,,,,
Los Angeles Lakers,450,400,400,400,550,1000,1200,1400,3000,4000,15000.0,,,,,
Memphis Grizzlies,15000,10000,10000,10000,8000,10000,8000,2500,2500,2800,1600.0,1200.0,1300.0,,,
Miami Heat,3500,2500,2500,2500,1800,1200,1200,1400,1000,900,1100.0,1000.0,500.0,425.0,,
Milwaukee Bucks,800,900,900,900,750,700,700,700,600,650,600.0,500.0,700.0,,,
Minnesota Timberwolves,25000,25000,25000,25000,25000,20000,20000,20000,12500,12500,8000.0,5000.0,,,,
New Orleans Pelicans,12500,10000,10000,10000,12500,25000,50000,50000,50000,50000,30000.0,10000.0,,,,
New York Knicks,8000,8000,8000,8000,8000,10000,10000,15000,50000,75000,,,,,,
Oklahoma City Thunder,50000,50000,50000,50000,50000,75000,100000,100000,100000,100000,,,,,,
Orlando Magic,50000,50000,50000,50000,50000,75000,100000,100000,100000,100000,,,,,,
Philadelphia 76ers,1600,1600,1600,1600,2000,2000,2500,1800,700,700,900.0,1600.0,2500.0,,,
Phoenix Suns,1400,1400,1500,1500,1300,900,800,700,450,450,300.0,260.0,320.0,,,
Portland Trail Blazers,4000,5000,5000,5000,8000,10000,12500,15000,75000,75000,100000.0,,,,,
Sacramento Kings,25000,25000,25000,25000,25000,50000,50000,50000,50000,50000,100000.0,,,,,
San Antonio Spurs,25000,30000,30000,30000,30000,50000,50000,50000,50000,50000,100000.0,,,,,
Toronto Raptors,10000,15000,15000,15000,15000,15000,25000,15000,12500,8000,10000.0,6600.0,,,,
Utah Jazz,1200,1400,1600,1600,1200,1100,1200,1200,1600,1600,2000.0,2800.0,,,,
Washington Wizards,15000,15000,15000,15000,15000,15000,20000,20000,50000,75000,,,,,,
