Team,"Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...",Title Odds as of Result
Team,Title Odds as of Jun 16,Title Odds as of Jul 8,Title Odds as of Jul 16,Title Odds as of Aug 1,Title Odds as of Sep 1,Title Odds as of Opening Night,Title Odds as of Nov 1,Title Odds as of Dec 1,Title Odds as of Jan 1,Title Odds as of Feb 1,Title Odds as of All-Star Break,Title Odds as of Mar 1,Title Odds as of Apr 1,Title Odds as of Round 1,Title Odds as of Conf Semis,Title Odds as of Conf Finals,Title Odds as of Finals,Title Odds as of Result
Atlanta Hawks,8000,5000,5000,5000,5000,5000,5000,4000,6600,8000,12500,15000,20000.0,20000.0,,,,
Boston Celtics,650,550,550,450,500,500,500,375,350,400,300,300,350.0,350.0,180.0,105.0,,
Brooklyn Nets,700,2500,2000,1600,700,700,1400,1400,800,600,12500,15000,20000.0,50000.0,,,,
Charlotte Hornets,10000,12500,25000,25000,15000,15000,25000,50000,50000,50000,100000,100000,,,,,,
Chicago Bulls,6600,4000,4000,4000,4000,4000,6600,10000,15000,20000,25000,50000,25000.0,,,,,
Cleveland Cavaliers,10000,10000,10000,10000,10000,3000,2800,2000,2000,2000,2500,3000,4000.0,4000.0,,,,
Dallas Mavericks,1400,2200,2200,2200,2200,2500,2000,2200,4000,3000,1600,1600,4000.0,,,,,
Denver Nuggets,1400,2000,2000,1800,1800,1800,1800,1400,1300,800,700,700,750.0,1000.0,700.0,260.0,-430.0,** WINNER **
Detroit Pistons,75000,50000,50000,50000,50000,50000,50000,50000,50000,50000,100000,100000,,,,,,
Golden State Warriors,550,650,650,650,600,600,650,700,1200,900,1600,1600,1200.0,800.0,500.0,,,
Houston Rockets,200000,50000,50000,50000,50000,50000,50000,50000,50000,50000,100000,100000,,,,,,
Indiana Pacers,25000,50000,25000,50000,50000,50000,50000,50000,50000,30000,50000,100000,100000.0,,,,,
Los Angeles Clippers,700,650,650,650,700,700,700,900,900,1400,1000,1100,2000.0,5000.0,,,,
Los Angeles Lakers,1400,1000,1000,1000,1800,1800,6600,10000,10000,4000,4000,3000,2500.0,1400.0,800.0,300.0,,
Memphis Grizzlies,1400,2500,2200,2200,2000,2000,1800,1800,1300,1100,1600,1600,1400.0,1800.0,,,,
Miami Heat,1400,1100,1100,1400,1600,1600,2200,2800,4000,4000,5000,6600,8000.0,12500.0,2500.0,1200.0,330.0,
Milwaukee Bucks,800,550,550,650,650,650,500,500,500,600,550,500,275.0,275.0,,,,
Minnesota Timberwolves,6600,3500,3500,3500,3500,2800,3500,8000,10000,12500,25000,25000,12500.0,15000.0,,,,
New Orleans Pelicans,4000,4000,4000,4000,4000,4000,3000,3000,2000,2000,5000,5000,20000.0,,,,,
New York Knicks,25000,10000,6600,6600,6600,6600,12500,15000,15000,20000,15000,10000,8000.0,10000.0,2000.0,,,
Oklahoma City Thunder,100000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,25000.0,,,,,
Orlando Magic,200000,50000,50000,50000,50000,50000,50000,50000,50000,50000,100000,100000,100000.0,,,,,
Philadelphia 76ers,1400,1200,1200,1400,1400,1400,1400,2000,1600,1200,1100,1200,1000.0,1000.0,600.0,,,
Phoenix Suns,900,650,700,850,1000,1000,800,750,900,1600,425,450,600.0,450.0,400.0,,,
Portland Trail Blazers,10000,8000,8000,8000,8000,8000,8000,5000,8000,10000,25000,50000,,,,,,
Sacramento Kings,75000,50000,50000,50000,50000,50000,50000,15000,15000,8000,10000,10000,5000.0,5000.0,,,,
San Antonio Spurs,25000,50000,50000,50000,50000,50000,50000,50000,50000,50000,100000,100000,,,,,,
Toronto Raptors,6600,3000,3000,3000,5000,4000,4000,4000,5000,6600,15000,17500,12500.0,,,,,
Utah Jazz,4000,12500,12500,12500,15000,50000,50000,15000,25000,25000,50000,50000,50000.0,,,,,
Washington Wizards,25000,25000,25000,25000,25000,25000,25000,20000,50000,50000,50000,50000,100000.0,,,,,
