Team,"Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Preseason, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Regular season, as of...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...","Conf Odds as of Playoffs, prior to...",Conf Odds as of Result
Team,Conf Odds as of Jun 22,Conf Odds as of Jul 8,Conf Odds as of Jul 16,Conf Odds as of Aug 1,Conf Odds as of Sep 1,Conf Odds as of Opening Night,Conf Odds as of Nov 1,Conf Odds as of Dec 1,Conf Odds as of Jan 1,Conf Odds as of Feb 1,Conf Odds as of All-Star Break,Conf Odds as of Mar 1,Conf Odds as of Apr 1,Conf Odds as of Round 1,Conf Odds as of Conf Semis,Conf Odds as of Conf Finals,Conf Odds as of Result
Atlanta Hawks,3000,2200,2200,2200,2200,2200,2500,1800,3300,3500,5000,6600,10000.0,10000.0,,,
Boston Celtics,275,225,225,200,225,260,220,175,200,180,115,105,160.0,150.0,-165.0,-550.0,
Brooklyn Nets,350,1200,1000,750,350,350,600,700,400,350,4000,6600,10000.0,20000.0,,,
Charlotte Hornets,3500,5000,5000,12500,10000,10000,12500,30000,30000,25000,50000,20000,,,,,
Chicago Bulls,2500,1800,2000,1800,2000,2500,3000,5000,10000,10000,12500,20000,12500.0,,,,
Cleveland Cavaliers,3500,5000,4000,5000,5000,1800,1200,850,1000,900,1100,1400,1400.0,1800.0,,,
Detroit Pistons,25000,25000,25000,25000,25000,25000,25000,50000,30000,25000,50000,20000,,,,,
Indiana Pacers,15000,25000,10000,25000,25000,25000,25000,30000,30000,15000,25000,20000,20000.0,,,,
Miami Heat,600,500,500,650,800,800,1000,1400,2000,2000,1800,3000,4000.0,6000.0,1000.0,400.0,** WINNER **
Milwaukee Bucks,300,225,225,250,300,325,220,225,240,350,185,190,115.0,115.0,,,
New York Knicks,8000,5000,3000,3000,3000,6600,6000,10000,10000,10000,8000,5000,4000.0,5000.0,700.0,,
Orlando Magic,25000,25000,25000,25000,25000,25000,25000,50000,30000,25000,50000,20000,20000.0,,,,
Philadelphia 76ers,600,550,550,650,700,750,700,1000,900,600,550,550,500.0,500.0,300.0,,
Toronto Raptors,2500,1400,1400,1400,1800,2000,2000,1800,2500,3500,8000,8000,6600.0,,,,
Washington Wizards,15000,12500,12500,12500,12500,12500,12500,15000,30000,25000,17500,20000,20000.0,,,,
Dallas Mavericks,800,1200,1200,1100,1100,1100,950,1000,1600,1400,750,800,1800.0,,,,
Denver Nuggets,800,1100,1100,900,750,725,900,650,500,350,350,350,300.0,425.0,275.0,-170.0,** WINNER **
Golden State Warriors,275,325,325,325,300,300,300,325,500,375,850,800,500.0,350.0,225.0,,
Houston Rockets,20000,25000,25000,25000,25000,25000,25000,30000,30000,25000,50000,20000,,,,,
Los Angeles Clippers,375,325,325,325,325,325,325,400,400,550,500,550,900.0,2200.0,,,
Los Angeles Lakers,1000,500,500,500,550,550,3500,5000,5000,2000,2000,1600,1100.0,600.0,375.0,145.0,
Memphis Grizzlies,800,1200,1100,1100,1000,1000,850,700,550,400,750,800,600.0,800.0,,,
Minnesota Timberwolves,3000,1800,1800,1800,1800,1400,1600,4000,5000,6600,10000,12500,5000.0,6600.0,,,
New Orleans Pelicans,2000,2200,2000,2000,2000,2000,1400,1300,900,900,2200,2500,6000.0,,,,
Oklahoma City Thunder,20000,25000,25000,25000,25000,25000,25000,30000,30000,25000,25000,20000,20000.0,,,,
Phoenix Suns,450,325,350,400,450,450,375,325,350,900,230,210,250.0,170.0,160.0,,
Portland Trail Blazers,6600,4000,4000,4000,4000,4000,4000,2500,3500,5000,12500,20000,,,,,
Sacramento Kings,20000,25000,25000,25000,25000,25000,25000,8000,6600,3500,5000,5000,2200.0,2200.0,,,
San Antonio Spurs,15000,25000,25000,25000,25000,25000,25000,30000,30000,25000,50000,20000,,,,,
Utah Jazz,2200,6600,12500,8000,10000,10000,25000,6600,12500,12500,25000,20000,20000.0,,,,
