Team,"Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Preseason, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Regular season, as of...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...","Title Odds as of Playoffs, prior to...",Title Odds as of Result
Team,Title Odds as of Jun 12,Title Odds as of Jun 24,Title Odds as of Jul 12,Title Odds as of Sep 27,Title Odds as of Sep 28,Title Odds as of Oct 2,Title Odds as of Opening Night,Title Odds as of Nov 1,Title Odds as of Dec 1,Title Odds as of Jan 1,Title Odds as of Feb 1,Title Odds as of All-Star Break,Title Odds as of Mar 1,Title Odds as of Apr 1,Title Odds as of Round 1,Title Odds as of Conf Semis,Title Odds as of Conf Finals,Title Odds as of Finals,Title Odds as of Result
Atlanta Hawks,6600,8000,8000,8000,8000,8000,8000,10000,10000,12500,25000.0,25000.0,50000.0,100000.0,,,,,
Boston Celtics,550,450,500,475,500,400,400,400,375,350,310.0,260.0,240.0,225.0,160.0,110.0,-150.0,-225.0,** WINNER **
Brooklyn Nets,10000,12500,8000,10000,10000,10000,10000,12500,20000,30000,50000.0,100000.0,100000.0,100000.0,,,,,
Charlotte Hornets,50000,50000,50000,50000,50000,50000,50000,50000,100000,100000,,,,,,,,,
Chicago Bulls,12500,12500,15000,12500,15000,15000,15000,12500,15000,25000,30000.0,50000.0,50000.0,100000.0,,,,,
Cleveland Cavaliers,2500,2500,2500,2200,2500,2500,2500,2500,2500,5000,6600.0,2500.0,2500.0,4000.0,5000.0,6600.0,,,
Dallas Mavericks,1200,2500,2000,2200,2200,2500,2500,2500,2500,2500,4500.0,3500.0,3000.0,3000.0,1600.0,900.0,500.0,190.0,
Denver Nuggets,500,450,475,475,475,500,550,500,425,400,425.0,450.0,450.0,325.0,300.0,260.0,,,
Detroit Pistons,50000,50000,50000,50000,50000,50000,50000,50000,100000,100000,,,,,,,,,
Golden State Warriors,1200,1200,1200,1400,1400,1400,1400,1400,1400,3000,6600.0,4000.0,3500.0,3500.0,,,,,
Houston Rockets,10000,25000,25000,35000,35000,35000,50000,50000,30000,12500,25000.0,50000.0,50000.0,50000.0,,,,,
Indiana Pacers,15000,25000,25000,25000,25000,25000,25000,25000,20000,8000,6600.0,10000.0,10000.0,15000.0,10000.0,5000.0,3000.0,,
Los Angeles Clippers,1400,2200,1800,2000,2000,2000,2000,1200,2200,1200,700.0,525.0,475.0,700.0,1300.0,,,,
Los Angeles Lakers,1200,1500,1200,1200,1200,1200,1300,1600,2200,1600,3000.0,4000.0,4000.0,3500.0,2500.0,,,,
Memphis Grizzlies,2000,2200,2500,3000,3000,3000,2500,3300,10000,10000,100000.0,,,,,,,,
Miami Heat,2000,1600,1000,1000,3000,3000,3000,3500,4000,4000,4000.0,4000.0,4000.0,3500.0,6000.0,,,,
Milwaukee Bucks,600,600,700,650,400,375,400,450,450,450,525.0,600.0,700.0,750.0,1400.0,,,,
Minnesota Timberwolves,6600,6600,6600,8000,8000,8000,6600,8000,2500,1800,2000.0,2200.0,2500.0,2500.0,2000.0,900.0,260.0,,
New Orleans Pelicans,3500,4000,4000,5000,5000,5000,5000,5000,5000,6600,6600.0,5000.0,5000.0,6600.0,8000.0,,,,
New York Knicks,4000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3500.0,1800.0,2200.0,3500.0,4000.0,1000.0,,,
Oklahoma City Thunder,6600,10000,10000,8000,8000,8000,8000,6600,5000,2200,1800.0,2200.0,2200.0,1800.0,1600.0,800.0,,,
Orlando Magic,15000,25000,25000,35000,35000,35000,35000,35000,12500,10000,15000.0,25000.0,25000.0,25000.0,20000.0,,,,
Philadelphia 76ers,1400,1800,1600,1600,1600,2000,2000,2800,1400,1400,1200.0,3000.0,3000.0,4000.0,1400.0,,,,
Phoenix Suns,850,600,600,650,650,650,650,550,650,1000,1300.0,1400.0,1600.0,3000.0,1800.0,,,,
Portland Trail Blazers,10000,12500,25000,25000,25000,25000,25000,50000,100000,100000,,,,,,,,,
Sacramento Kings,3000,3500,5000,5000,5000,5000,5000,5000,4000,4000,5000.0,6600.0,6600.0,8000.0,,,,,
San Antonio Spurs,20000,15000,25000,25000,25000,25000,25000,25000,50000,100000,,,,,,,,,
Toronto Raptors,8000,8000,10000,8000,10000,10000,10000,12500,25000,25000,50000.0,100000.0,100000.0,,,,,,
Utah Jazz,15000,25000,25000,25000,25000,25000,25000,50000,50000,100000,50000.0,50000.0,50000.0,,,,,,
Washington Wizards,15000,50000,50000,50000,50000,50000,50000,50000,100000,100000,,,,,,,,,
