Season,Owner,Team,Auction Cost
2024-25,Arjun,CLE,60
2024-25,Arjun,OKC,95
2024-25,Arjun,MIA,31
2024-25,Arjun,BKN,1
2024-25,Arjun,CHA,13
2024-25,Irfan,HOU,17
2024-25,Irfan,LAL,40
2024-25,Irfan,LAC,12
2024-25,Irfan,DAL,70
2024-25,Irfan,PHI,60
2024-25,Kalhan,DEN,95
2024-25,Kalhan,MEM,16
2024-25,Kalhan,GSW,20
2024-25,Kalhan,ORL,36
2024-25,Kalhan,NOP,33
2024-25,Ashwin,NYK,83
2024-25,Ashwin,DET,85
2024-25,Ashwin,MIN,1
2024-25,Ashwin,SAS,20
2024-25,Ashwin,TOR,10
2024-25,Sarith,BOS,115
2024-25,Sarith,IND,69
2024-25,Sarith,POR,3
2024-25,Sarith,CHI,3
2024-25,Sarith,UTA,10
2024-25,Pranav,MIL,85
2024-25,Pranav,SAC,13
2024-25,Pranav,ATL,13
2024-25,Pranav,PHX,80
2024-25,Pranav,WAS,9
2023-24,Pranav,BOS,100
2023-24,Pranav,MIN,46
2023-24,Pranav,LAC,43
2023-24,Pranav,HOU,10
2023-24,Pranav,WAS,1
2023-24,Kalhan,IND,20
2023-24,Kalhan,CLE,65
2023-24,Kalhan,NOP,33
2023-24,Kalhan,PHI,60
2023-24,Kalhan,TOR,22
2023-24,Sarith,NYK,47
2023-24,Sarith,LAL,61
2023-24,Sarith,ORL,1
2023-24,Sarith,GSW,73
2023-24,Sarith,POR,18
2023-24,Ashwin,OKC,40
2023-24,Ashwin,PHX,87
2023-24,Ashwin,SAC,36
2023-24,Ashwin,BKN,36
2023-24,Ashwin,CHA,1
2023-24,Arjun,DEN,100
2023-24,Arjun,MIA,47
2023-24,Arjun,CHI,23
2023-24,Arjun,MEM,23
2023-24,Arjun,SAS,1
2023-24,Irfan,DAL,37
2023-24,Irfan,MIL,107
2023-24,Irfan,ATL,33
2023-24,Irfan,UTA,8
2023-24,Irfan,DET,15
