Season,Owner,Team,Auction Cost
2024-25,Ejnar,OKC,91
2024-25,Ejnar,DEN,73
2024-25,Ejnar,LAL,28
2024-25,Ejnar,LAC,5
2024-25,Rishi,CLE,54
2024-25,Rishi,MEM,53
2024-25,Rishi,DAL,72
2024-25,Rishi,ATL,1
2024-25,Sup,HOU,28
2024-25,Sup,IND,52
2024-25,Sup,PHX,57
2024-25,Sup,MIA,23
2024-25,Sharan,BOS,120
2024-25,Sharan,SAC,52
2024-25,Sharan,SAS,27
2024-25,Sharan,UTA,1
2024-25,Kartik,MIL,62
2024-25,Kartik,MIN,75
2024-25,Kartik,ORL,60
2024-25,Kartik,CHA,1
2024-25,Josiah,NYK,75
2024-25,Josiah,GSW,34
2024-25,Josiah,PHI,64
2024-25,Josiah,NOP,22
2024-25,Undrafted,DET,0
2024-25,Undrafted,POR,0
2024-25,Undrafted,CHI,0
2024-25,Undrafted,TOR,0
2024-25,Undrafted,BKN,0
2024-25,Undrafted,WAS,0
2023-24,Rishi,OKC,61
2023-24,Rishi,NYK,48
2023-24,Rishi,IND,23
2023-24,Rishi,SAC,62
2023-24,Josiah,MIN,32
2023-24,Josiah,CLE,55
2023-24,Josiah,PHI,67
2023-24,Josiah,LAL,41
2023-24,Sup,BOS,118
2023-24,Sup,ORL,13
2023-24,Sup,MIA,30
2023-24,Sup,ATL,30
2023-24,Sharan,DAL,41
2023-24,Sharan,LAC,66
2023-24,Sharan,NOP,55
2023-24,Sharan,MEM,38
2023-24,Ejnar,MIL,115
2023-24,Ejnar,PHX,81
2023-24,Ejnar,CHI,1
2023-24,Ejnar,UTA,1
2023-24,Kartik,DEN,120
2023-24,Kartik,GSW,67
2023-24,Kartik,BKN,4
2023-24,Kartik,TOR,1
2023-24,Undrafted,HOU,0
2023-24,Undrafted,SAS,0
2023-24,Undrafted,CHA,0
2023-24,Undrafted,POR,0
2023-24,Undrafted,WAS,0
2023-24,Undrafted,DET,0
2022-23,Sharan,PHI,66
2022-23,Sharan,SAC,9
2022-23,Sharan,BKN,70
2022-23,Sharan,ATL,42
2022-23,Ejnar,DEN,68
2022-23,Ejnar,CLE,24
2022-23,Ejnar,CHI,34
2022-23,Ejnar,DAL,42
2022-23,Josiah,MIA,80
2022-23,Josiah,LAL,20
2022-23,Josiah,LAC,77
2022-23,Josiah,TOR,23
2022-23,Sup,BOS,48
2022-23,Sup,MIN,24
2022-23,Sup,NOP,81
2022-23,Sup,DET,30
2022-23,Rishi,MEM,90
2022-23,Rishi,GSW,50
2022-23,Rishi,POR,52
2022-23,Rishi,CHA,2
2022-23,Undrafted,OKC,0
2022-23,Undrafted,UTA,0
2022-23,Undrafted,IND,0
2022-23,Undrafted,ORL,0
2022-23,Undrafted,HOU,0
2022-23,Undrafted,SAS,0
2021-22,Sup,DAL,78
2021-22,Sup,MIL,53
2021-22,Sup,UTA,1
2021-22,Sup,TOR,54
2021-22,Sup,MIN,8
2021-22,Josiah,PHX,120
2021-22,Josiah,MEM,64
2021-22,Josiah,PHI,69
2021-22,Josiah,CHA,56
2021-22,Josiah,IND,31
2021-22,Rishi,BOS,14
2021-22,Rishi,MIA,95
2021-22,Rishi,DEN,23
2021-22,Rishi,NYK,25
2021-22,Rishi,SAC,1
2021-22,Sharan,GSW,10
2021-22,Sharan,CHI,69
2021-22,Sharan,NOP,64
2021-22,Sharan,SAS,4
2021-22,Sharan,LAL,1
2021-22,Ejnar,ATL,32
2021-22,Ejnar,BKN,120
2021-22,Ejnar,LAC,32
2021-22,Ejnar,WAS,11
2021-22,Ejnar,POR,42
2021-22,Undrafted,CLE,0
2021-22,Undrafted,DET,0
2021-22,Undrafted,HOU,0
2021-22,Undrafted,OKC,0
2021-22,Undrafted,ORL,0
