season,projection_date,abbreviation,reg_season_wins,make_playoffs_odds,miss_playoffs_odds,win_conference_odds,win_finals_odds,source,over_wins_prob,make_playoffs_prob,win_conference_prob,win_finals_prob
2021-22,2021-10-17,ATL,46.5,-500,380,1500,3500,draftkings,,0.8000,0.0538,0.0231
2021-22,2021-10-17,BOS,46.5,-500,380,1800,4000,draftkings,,0.8000,0.0453,0.0203
2021-22,2021-10-17,BKN,56.5,-20000,4000,100,205,draftkings,,0.9761,0.4302,0.2728
2021-22,2021-10-17,CHA,38.5,175,-215,8000,18000,draftkings,,0.3476,0.0106,0.0046
2021-22,2021-10-17,CHI,42.5,-185,150,2800,6000,draftkings,,0.6187,0.0297,0.0136
2021-22,2021-10-17,CLE,27.5,2000,-8000,30000,100000,draftkings,,0.0460,0.0029,0.0008
2021-22,2021-10-17,DAL,48.5,-650,450,1300,2800,draftkings,,0.8266,0.0623,0.0287
2021-22,2021-10-17,DEN,47.5,-650,450,900,2000,draftkings,,0.8266,0.0872,0.0396
2021-22,2021-10-17,DET,25.5,2000,-8000,30000,100000,draftkings,,0.0460,0.0029,0.0008
2021-22,2021-10-17,GSW,47.5,-600,425,550,1100,draftkings,,0.8182,0.1342,0.0693
2021-22,2021-10-17,HOU,27.5,1600,-6000,35000,100000,draftkings,,0.0564,0.0025,0.0008
2021-22,2021-10-17,IND,42.5,-175,145,4000,10000,draftkings,,0.6092,0.0210,0.0082
2021-22,2021-10-17,LAC,45.5,-285,225,650,1700,draftkings,,0.7064,0.1163,0.0462
2021-22,2021-10-17,LAL,52.5,-3500,1300,195,400,draftkings,,0.9316,0.2957,0.1664
2021-22,2021-10-17,MEM,41.5,110,-140,5000,10000,draftkings,,0.4494,0.0171,0.0082
2021-22,2021-10-17,MIA,48.5,-1000,650,900,2500,draftkings,,0.8721,0.0860,0.0320
2021-22,2021-10-17,MIL,54.5,-8000,2000,390,900,draftkings,,0.9540,0.1756,0.0832
2021-22,2021-10-17,MIN,35.5,600,-800,13000,25000,draftkings,,0.1385,0.0067,0.0033
2021-22,2021-10-17,NOP,39.5,170,-245,6000,11000,draftkings,,0.3428,0.0143,0.0075
2021-22,2021-10-17,NYK,41.5,-150,125,4000,10000,draftkings,,0.5745,0.0210,0.0082
2021-22,2021-10-17,OKC,23.5,2200,-10000,35000,100000,draftkings,,0.0421,0.0025,0.0008
2021-22,2021-10-17,ORL,22.5,2200,-10000,30000,100000,draftkings,,0.0421,0.0029,0.0008
2021-22,2021-10-17,PHI,50.5,-2000,1000,750,2000,draftkings,,0.9129,0.1012,0.0396
2021-22,2021-10-17,PHX,51.5,-3500,1300,650,1700,draftkings,,0.9316,0.1163,0.0462
2021-22,2021-10-17,POR,44.5,-250,200,3500,8000,draftkings,,0.6818,0.0242,0.0103
2021-22,2021-10-17,SAS,28.5,1000,-3000,18000,35000,draftkings,,0.0859,0.0048,0.0024
2021-22,2021-10-17,SAC,36.5,380,-500,13000,25000,draftkings,,0.2000,0.0067,0.0033
2021-22,2021-10-17,TOR,35.5,280,-360,10000,25000,draftkings,,0.2516,0.0085,0.0033
2021-22,2021-10-17,UTA,51.5,-5000,1500,700,1500,draftkings,,0.9401,0.1091,0.0520
2021-22,2021-10-17,WAS,33.5,500,-700,10000,25000,draftkings,,0.1600,0.0085,0.0033
2022-23,2022-10-24,ATL,45.5,,,,,draftkings,0.5000,0.7073,0.0414,0.0163
2022-23,2022-10-24,BOS,54.5,,,,,draftkings,0.5000,0.9434,0.2348,0.1191
2022-23,2022-10-24,BKN,50.5,,,,,draftkings,0.5325,0.8881,0.1975,0.1042
2022-23,2022-10-24,CHA,34.5,,,,,draftkings,0.4783,0.1818,0.0072,0.0033
2022-23,2022-10-24,CHI,41.5,,,,,draftkings,0.4675,0.5217,0.0212,0.0092
2022-23,2022-10-24,CLE,47.5,,,,,draftkings,0.5000,0.7619,0.0621,0.0269
2022-23,2022-10-24,DAL,48.5,,,,,draftkings,0.5325,0.8266,0.0790,0.0362
2022-23,2022-10-24,DEN,50.5,,,,,draftkings,0.5000,0.8342,0.0915,0.0439
2022-23,2022-10-24,DET,28.5,,,,,draftkings,0.5108,0.0798,0.0035,0.0012
2022-23,2022-10-24,GSW,52.5,,,,,draftkings,0.4675,0.9045,0.2121,0.1191
2022-23,2022-10-24,HOU,23.5,,,,,draftkings,0.4675,0.0374,0.0009,0.0008
2022-23,2022-10-24,IND,22.5,,,,,draftkings,0.5325,0.0374,0.0014,0.0008
2022-23,2022-10-24,LAC,52.5,,,,,draftkings,0.5217,0.9091,0.2121,0.1191
2022-23,2022-10-24,LAL,41.5,,,,,draftkings,0.4892,0.4783,0.0483,0.0232
2022-23,2022-10-24,MEM,49.5,,,,,draftkings,0.5108,0.8411,0.0828,0.0397
2022-23,2022-10-24,MIA,47.5,,,,,draftkings,0.4783,0.7619,0.0828,0.0362
2022-23,2022-10-24,MIL,52.5,,,,,draftkings,0.5325,0.9313,0.1931,0.0981
2022-23,2022-10-24,MIN,47.5,,,,,draftkings,0.5325,0.7530,0.0511,0.0232
2022-23,2022-10-24,NOP,46.5,,,,,draftkings,0.4892,0.7273,0.0580,0.0269
2022-23,2022-10-24,NYK,38.5,,,,,draftkings,0.5325,0.3596,0.0107,0.0041
2022-23,2022-10-24,OKC,23.5,,,,,draftkings,0.4573,0.0374,0.0014,0.0008
2022-23,2022-10-24,ORL,26.5,,,,,draftkings,0.4783,0.0687,0.0014,0.0008
2022-23,2022-10-24,PHI,49.5,,,,,draftkings,0.4573,0.8182,0.0915,0.0490
2022-23,2022-10-24,PHX,51.5,,,,,draftkings,0.5427,0.8807,0.1338,0.0641
2022-23,2022-10-24,POR,41.5,,,,,draftkings,0.5427,0.5427,0.0212,0.0103
2022-23,2022-10-24,SAC,33.5,,,,,draftkings,0.4675,0.1370,0.0029,0.0012
2022-23,2022-10-24,SAS,23.5,,,,,draftkings,0.5000,0.0422,0.0014,0.0008
2022-23,2022-10-24,TOR,45.5,,,,,draftkings,0.5000,0.6935,0.0457,0.0181
2022-23,2022-10-24,UTA,28.5,,,,,draftkings,0.5217,0.0731,0.0035,0.0012
2022-23,2022-10-24,WAS,36.5,,,,,draftkings,0.5108,0.2801,0.0058,0.0021
2023-24,2023-10-20,ATL,41.5,,,,,draftkings,0.5000,0.5967,0.0173,0.0072
2023-24,2023-10-20,BOS,55.5,,,,,draftkings,0.4892,0.9628,0.3271,0.1940
2023-24,2023-10-20,BKN,35.5,,,,,draftkings,0.5000,0.3420,0.0142,0.0055
2023-24,2023-10-20,CHA,29.5,,,,,draftkings,0.4628,0.1927,0.0041,0.0014
2023-24,2023-10-20,CHI,36.5,,,,,draftkings,0.5396,0.4053,0.0142,0.0055
2023-24,2023-10-20,CLE,48.5,,,,,draftkings,0.4764,0.8652,0.0867,0.0287
2023-24,2023-10-20,DAL,45.5,,,,,draftkings,0.4764,0.6162,0.0643,0.0239
2023-24,2023-10-20,DEN,54.5,,,,,draftkings,0.5000,0.9186,0.2259,0.1435
2023-24,2023-10-20,DET,28.5,,,,,draftkings,0.5236,0.0942,0.0048,0.0014
2023-24,2023-10-20,GSW,47.5,,,,,draftkings,0.5420,0.7549,0.1045,0.0478
2023-24,2023-10-20,HOU,30.5,,,,,draftkings,0.4764,0.1050,0.0029,0.0014
2023-24,2023-10-20,IND,38.5,,,,,draftkings,0.5000,0.4854,0.0131,0.0028
2023-24,2023-10-20,LAC,45.5,,,,,draftkings,0.4694,0.7515,0.1045,0.0552
2023-24,2023-10-20,LAL,45.5,,,,,draftkings,0.4604,0.7050,0.0836,0.0449
2023-24,2023-10-20,MEM,41.5,,,,,draftkings,0.5236,0.4405,0.0464,0.0205
2023-24,2023-10-20,MIA,43.5,,,,,draftkings,0.4764,0.7050,0.0619,0.0199
2023-24,2023-10-20,MIL,52.5,,,,,draftkings,0.4592,0.9404,0.3210,0.1751
2023-24,2023-10-20,MIN,44.5,,,,,draftkings,0.5236,0.5967,0.0321,0.0110
2023-24,2023-10-20,NOP,44.5,,,,,draftkings,0.4764,0.6287,0.0440,0.0153
2023-24,2023-10-20,NYK,44.5,,,,,draftkings,0.5236,0.7050,0.0394,0.0156
2023-24,2023-10-20,OKC,45.5,,,,,draftkings,0.4764,0.6842,0.0288,0.0103
2023-24,2023-10-20,ORL,37.5,,,,,draftkings,0.5236,0.4285,0.0090,0.0014
2023-24,2023-10-20,PHI,48.5,,,,,draftkings,0.5306,0.8218,0.0722,0.0256
2023-24,2023-10-20,PHX,49.5,,,,,draftkings,0.4540,0.8792,0.2200,0.1196
2023-24,2023-10-20,POR,24.5,,,,,draftkings,0.5236,0.0596,0.0017,0.0014
2023-24,2023-10-20,SAC,43.5,,,,,draftkings,0.4661,0.5894,0.0321,0.0110
2023-24,2023-10-20,SAS,27.5,,,,,draftkings,0.5236,0.0950,0.0017,0.0014
2023-24,2023-10-20,TOR,35.5,,,,,draftkings,0.4764,0.3147,0.0131,0.0055
2023-24,2023-10-20,UTA,33.5,,,,,draftkings,0.5590,0.2194,0.0075,0.0014
2023-24,2023-10-20,WAS,24.5,,,,,draftkings,0.4410,0.0531,0.0017,0.0014
2024-25,2024-10-21,ATL,36.5,,,,,fanduel,,0.3535,0.0056,0.0014
2024-25,2024-10-21,BOS,58.5,,,,,fanduel,,0.9626,0.3548,0.2075
2024-25,2024-10-21,BKN,19.5,,,,,fanduel,,0.0314,0.0015,0.0008
2024-25,2024-10-21,CHA,30.5,,,,,fanduel,,0.1370,0.0018,0.0008
2024-25,2024-10-21,CHI,28.5,,,,,fanduel,,0.1193,0.0036,0.0008
2024-25,2024-10-21,CLE,48.5,,,,,fanduel,,0.8630,0.0393,0.0139
2024-25,2024-10-21,DAL,49.5,,,,,fanduel,,0.8013,0.1534,0.0773
2024-25,2024-10-21,DEN,50.5,,,,,fanduel,,0.8411,0.1534,0.0810
2024-25,2024-10-21,DET,25.5,,,,,fanduel,,0.0871,0.0015,0.0008
2024-25,2024-10-21,GSW,43.5,,,,,fanduel,,0.5108,0.0420,0.0236
2024-25,2024-10-21,HOU,43.5,,,,,fanduel,,0.5000,0.0134,0.0056
2024-25,2024-10-21,IND,46.5,,,,,fanduel,,0.8342,0.0348,0.0139
2024-25,2024-10-21,LAC,35.5,,,,,fanduel,,0.1943,0.0215,0.0105
2024-25,2024-10-21,LAL,43.5,,,,,fanduel,,0.4892,0.0519,0.0274
2024-25,2024-10-21,MEM,47.5,,,,,fanduel,,0.6769,0.0519,0.0207
2024-25,2024-10-21,MIA,44.5,,,,,fanduel,,0.7931,0.0431,0.0185
2024-25,2024-10-21,MIL,50.5,,,,,fanduel,,0.8994,0.1292,0.0567
2024-25,2024-10-21,MIN,52.5,,,,,fanduel,,0.8630,0.1470,0.0773
2024-25,2024-10-21,NOP,46.5,,,,,fanduel,,0.6018,0.0383,0.0152
2024-25,2024-10-21,NYK,54.5,,,,,fanduel,,0.9491,0.1809,0.0945
2024-25,2024-10-21,OKC,56.5,,,,,fanduel,,0.9360,0.2151,0.1134
2024-25,2024-10-21,ORL,47.5,,,,,fanduel,,0.8630,0.0348,0.0129
2024-25,2024-10-21,PHI,50.5,,,,,fanduel,,0.8994,0.1645,0.0773
2024-25,2024-10-21,PHX,47.5,,,,,fanduel,,0.6924,0.0678,0.0274
2024-25,2024-10-21,POR,22.5,,,,,fanduel,,0.0314,0.0015,0.0008
2024-25,2024-10-21,SAC,46.5,,,,,fanduel,,0.6018,0.0304,0.0112
2024-25,2024-10-21,SAS,36.5,,,,,fanduel,,0.2120,0.0109,0.0056
2024-25,2024-10-21,TOR,29.5,,,,,fanduel,,0.1370,0.0030,0.0008
2024-25,2024-10-21,UTA,28.5,,,,,fanduel,,0.0460,0.0015,0.0008
2024-25,2024-10-21,WAS,20.5,,,,,fanduel,,0.0374,0.0015,0.0008
2025-26,2025-09-13,ATL,47.5,,,,,fanduel,0.4807,0.8169,0.0870,0.0302
2025-26,2025-09-13,BOS,40.5,,,,,fanduel,0.5087,0.5785,0.0435,0.0139
2025-26,2025-09-13,BKN,20.5,,,,,fanduel,0.4764,0.0239,0.0017,0.0008
2025-26,2025-09-13,CHA,26.5,,,,,fanduel,0.5087,0.0852,0.0017,0.0008
2025-26,2025-09-13,CHI,32.5,,,,,fanduel,0.4807,0.1989,0.0069,0.0021
2025-26,2025-09-13,CLE,56.5,,,,,fanduel,0.4957,0.9687,0.2636,0.1056
2025-26,2025-09-13,DAL,41.5,,,,,fanduel,0.4764,0.4808,0.0339,0.0206
2025-26,2025-09-13,DEN,53.5,,,,,fanduel,0.5000,0.9080,0.1357,0.0845
2025-26,2025-09-13,DET,46.5,,,,,fanduel,0.4764,0.7920,0.0725,0.0235
2025-26,2025-09-13,GSW,45.5,,,,,fanduel,0.4892,0.6753,0.0464,0.0273
2025-26,2025-09-13,HOU,55.5,,,,,fanduel,0.5108,0.9304,0.1260,0.0768
2025-26,2025-09-13,IND,37.5,,,,,fanduel,0.4807,0.4064,0.0311,0.0084
2025-26,2025-09-13,LAC,47.5,,,,,fanduel,0.4892,0.7475,0.0735,0.0422
2025-26,2025-09-13,LAL,49.5,,,,,fanduel,0.4807,0.8131,0.0840,0.0528
2025-26,2025-09-13,MEM,40.5,,,,,fanduel,0.4850,0.4170,0.0124,0.0067
2025-26,2025-09-13,MIA,39.5,,,,,fanduel,0.4850,0.4899,0.0242,0.0067
2025-26,2025-09-13,MIL,42.5,,,,,fanduel,0.5000,0.6592,0.0483,0.0151
2025-26,2025-09-13,MIN,49.5,,,,,fanduel,0.4807,0.8011,0.0679,0.0367
2025-26,2025-09-13,NOP,29.5,,,,,fanduel,0.4913,0.0954,0.0029,0.0011
2025-26,2025-09-13,NYK,52.5,,,,,fanduel,0.5108,0.9272,0.2071,0.0805
2025-26,2025-09-13,OKC,62.5,,,,,fanduel,0.5000,0.9862,0.3754,0.2726
2025-26,2025-09-13,ORL,50.5,,,,,fanduel,0.5000,0.8959,0.1338,0.0445
2025-26,2025-09-13,PHI,42.5,,,,,fanduel,0.4850,0.6395,0.0580,0.0206
2025-26,2025-09-13,PHX,31.5,,,,,fanduel,0.5087,0.1262,0.0035,0.0017
2025-26,2025-09-13,POR,34.5,,,,,fanduel,0.4807,0.1831,0.0035,0.0012
2025-26,2025-09-13,SAC,34.5,,,,,fanduel,0.5000,0.1906,0.0044,0.0021
2025-26,2025-09-13,SAS,44.5,,,,,fanduel,0.4892,0.6141,0.0285,0.0151
2025-26,2025-09-13,TOR,38.5,,,,,fanduel,0.5087,0.4677,0.0189,0.0042
2025-26,2025-09-13,UTA,18.5,,,,,fanduel,0.5087,0.0138,0.0018,0.0008
2025-26,2025-09-13,WAS,21.5,,,,,fanduel,0.4913,0.0371,0.0017,0.0008
2025-26,2025-10-20,ATL,47.5,,,,,fanduel,0.4807,0.8011,0.0822,0.0270
2025-26,2025-10-20,BOS,41.5,,,,,fanduel,0.5043,0.6141,0.0719,0.0270
2025-26,2025-10-20,BKN,19.5,,,,,fanduel,0.4807,0.0239,0.0011,0.0008
2025-26,2025-10-20,CHA,27.5,,,,,fanduel,0.4913,0.1262,0.0085,0.0024
2025-26,2025-10-20,CHI,33.5,,,,,fanduel,0.4913,0.2457,0.0107,0.0024
2025-26,2025-10-20,CLE,56.5,,,,,fanduel,0.5150,0.9629,0.2697,0.1048
2025-26,2025-10-20,DAL,41.5,,,,,fanduel,0.5108,0.5164,0.0413,0.0233
2025-26,2025-10-20,DEN,53.5,,,,,fanduel,0.5236,0.9084,0.1702,0.1118
2025-26,2025-10-20,DET,46.5,,,,,fanduel,0.4913,0.7717,0.0719,0.0233
2025-26,2025-10-20,GSW,47.5,,,,,fanduel,0.4764,0.7256,0.0482,0.0270
2025-26,2025-10-20,HOU,52.5,,,,,fanduel,0.4807,0.8720,0.0789,0.0441
2025-26,2025-10-20,IND,36.5,,,,,fanduel,0.4913,0.3676,0.0240,0.0056
2025-26,2025-10-20,LAC,49.5,,,,,fanduel,0.5193,0.8094,0.0723,0.0466
2025-26,2025-10-20,LAL,46.5,,,,,fanduel,0.5000,0.7256,0.0723,0.0441
2025-26,2025-10-20,MEM,39.5,,,,,fanduel,0.4764,0.3676,0.0142,0.0083
2025-26,2025-10-20,MIA,37.5,,,,,fanduel,0.5000,0.4095,0.0188,0.0056
2025-26,2025-10-20,MIL,43.5,,,,,fanduel,0.4783,0.6638,0.0575,0.0182
2025-26,2025-10-20,MIN,48.5,,,,,fanduel,0.5087,0.7969,0.0668,0.0399
2025-26,2025-10-20,NOP,30.5,,,,,fanduel,0.5193,0.1374,0.0069,0.0033
2025-26,2025-10-20,NYK,53.5,,,,,fanduel,0.4764,0.9272,0.1798,0.0645
2025-26,2025-10-20,OKC,62.5,,,,,fanduel,0.5087,0.9862,0.3857,0.2795
2025-26,2025-10-20,ORL,50.5,,,,,fanduel,0.4957,0.8801,0.1151,0.0399
2025-26,2025-10-20,PHI,42.5,,,,,fanduel,0.5043,0.6430,0.0664,0.0233
2025-26,2025-10-20,PHX,30.5,,,,,fanduel,0.5108,0.1262,0.0035,0.0011
2025-26,2025-10-20,POR,35.5,,,,,fanduel,0.4764,0.2228,0.0057,0.0021
2025-26,2025-10-20,SAC,32.5,,,,,fanduel,0.5000,0.1507,0.0043,0.0017
2025-26,2025-10-20,SAS,44.5,,,,,fanduel,0.5087,0.6288,0.0280,0.0150
2025-26,2025-10-20,TOR,39.5,,,,,fanduel,0.5000,0.4939,0.0210,0.0056
2025-26,2025-10-20,UTA,19.5,,,,,fanduel,0.4807,0.0161,0.0017,0.0008
2025-26,2025-10-20,WAS,20.5,,,,,fanduel,0.4913,0.0371,0.0014,0.0008
