season,fetched_at,abbreviation,reg_season_wins,over_wins_odds,under_wins_odds,make_playoffs_odds,miss_playoffs_odds,win_conference_odds,win_finals_odds,source
2021-22,2021-10-17T17:00:00-07:00,ATL,46.5,,,-500,380,1500,3500,DraftKings
2021-22,2021-10-17T17:00:00-07:00,BOS,46.5,,,-500,380,1800,4000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,BKN,56.5,,,-20000,4000,100,205,DraftKings
2021-22,2021-10-17T17:00:00-07:00,CHA,38.5,,,175,-215,8000,18000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,CHI,42.5,,,-185,150,2800,6000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,CLE,27.5,,,2000,-8000,30000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,DAL,48.5,,,-650,450,1300,2800,DraftKings
2021-22,2021-10-17T17:00:00-07:00,DEN,47.5,,,-650,450,900,2000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,DET,25.5,,,2000,-8000,30000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,GSW,47.5,,,-600,425,550,1100,DraftKings
2021-22,2021-10-17T17:00:00-07:00,HOU,27.5,,,1600,-6000,35000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,IND,42.5,,,-175,145,4000,10000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,LAC,45.5,,,-285,225,650,1700,DraftKings
2021-22,2021-10-17T17:00:00-07:00,LAL,52.5,,,-3500,1300,195,400,DraftKings
2021-22,2021-10-17T17:00:00-07:00,MEM,41.5,,,110,-140,5000,10000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,MIA,48.5,,,-1000,650,900,2500,DraftKings
2021-22,2021-10-17T17:00:00-07:00,MIL,54.5,,,-8000,2000,390,900,DraftKings
2021-22,2021-10-17T17:00:00-07:00,MIN,35.5,,,600,-800,13000,25000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,NOP,39.5,,,170,-245,6000,11000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,NYK,41.5,,,-150,125,4000,10000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,OKC,23.5,,,2200,-10000,35000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,ORL,22.5,,,2200,-10000,30000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,PHI,50.5,,,-2000,1000,750,2000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,PHX,51.5,,,-3500,1300,650,1700,DraftKings
2021-22,2021-10-17T17:00:00-07:00,POR,44.5,,,-250,200,3500,8000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,SAS,28.5,,,1000,-3000,18000,35000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,SAC,36.5,,,380,-500,13000,25000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,TOR,35.5,,,280,-360,10000,25000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,UTA,51.5,,,-5000,1500,700,1500,DraftKings
2021-22,2021-10-17T17:00:00-07:00,WAS,33.5,,,500,-700,10000,25000,DraftKings
2022-23,2022-10-24T17:00:00-07:00,ATL,45.5,-100,-100,-242,242,2315,6035,DraftKings
2022-23,2022-10-24T17:00:00-07:00,BOS,54.5,-100,-100,-1667,1667,326,740,DraftKings
2022-23,2022-10-24T17:00:00-07:00,BKN,50.5,-114,114,-794,794,406,860,DraftKings
